transaction_id,transaction_date,sender_id,receiver_id,origin_country,destination_country,sender_bank,receiver_bank,currency,amount_usd,transaction_type,customer_segment,purpose_code,risk_rating,corridor,country_pair,transaction_day,transaction_week,transaction_month,log_amount_usd,risk_rating_num,entity_baseline_count,entity_baseline_median,entity_baseline_mad,peer_baseline_count,peer_baseline_median,peer_baseline_mad,entity_baseline_z,peer_baseline_z,baseline_score,rolling_median_amount,rolling_mean_amount,rolling_std_amount,rolling_txn_count,rolling_total_amount,rolling_amount_ratio,rolling_z,rolling_score,daily_amount_ratio,daily_count_ratio,daily_change_score,weekly_amount_ratio,weekly_count_ratio,weekly_change_score,monthly_amount_ratio,monthly_count_ratio,monthly_change_score,change_score,risk_context_score,anomaly_score,severity,is_alert,reason_codes,recommended_action
TXN001411,2025-04-03,CUST_A103,RCV_B205,USA,RUS,Atlantic Bank,Harbor Bank,USD,780000.0,Trade Finance,NBFI,Large Trade Settlement,High,USA->RUS,USA->RUS,2025-04-03,2025-03-31,2025-04-01,13.567050480716235,2,41,107795.87,29431.67,41,107795.87,29431.67,15.405231360809632,15.405231360809632,100.0,99469.70000000001,145293.09166666667,101915.87016840749,24.0,3487034.2,7.841583919525242,6.227753413521692,97.74,7.415046383967073,1.0,100.0,1.535538090174766,0.6666666666666666,10.71,1.0672460709104443,0.5714285714285714,1.34,100.0,95.0,98.57,Critical,True,Large deviation from sender/corridor historical baseline; Large deviation from peer-group corridor baseline; Transaction amount sharply above recent rolling median; Rolling-window statistical outlier; Sudden time-period change in transaction amount or count; Customer risk rating is High; Transaction involves configured elevated-risk country; High-value cross-border transfer,Immediate enhanced due diligence review; consider escalation and temporary hold based on policy.
TXN001412,2025-05-20,CUST_A106,RCV_B206,USA,ARE,Atlantic Bank,Harbor Bank,USD,510000.0,Wire,SME,Intercompany Transfer,Medium,USA->ARE,USA->ARE,2025-05-20,2025-05-19,2025-05-01,13.1421679654829,1,57,14384.35,5064.83,96,14598.11,5405.365000000001,66.00275940653486,61.81794842808949,100.0,14932.77,15848.246333333334,7226.545520472644,30.0,475447.39,34.153074078017674,68.38007901102202,100.0,18.385301852409285,1.0,100.0,21.600164386228325,5.0,100.0,4.887196582779951,2.0,77.74,100.0,45.0,91.75,Critical,True,Large deviation from sender/corridor historical baseline; Large deviation from peer-group corridor baseline; Transaction amount sharply above recent rolling median; Rolling-window statistical outlier; Sudden time-period change in transaction amount or count; High-value cross-border transfer,Immediate enhanced due diligence review; consider escalation and temporary hold based on policy.
TXN001410,2025-03-18,CUST_A102,RCV_B204,USA,DEU,Atlantic Bank,Harbor Bank,USD,425000.0,Wire,SME,Unusual Invoice Payment,Medium,USA->DEU,USA->DEU,2025-03-18,2025-03-17,2025-03-01,12.959846800844963,1,40,17473.445,5031.5650000000005,83,17241.39,5163.17,54.63045023715285,53.26827945719393,100.0,16503.690000000002,17227.975555555557,6149.698680198552,18.0,310103.56,25.751816714928598,66.30764296752162,100.0,12.94981170973774,1.0,100.0,13.514568538173455,2.0,100.0,3.8979745232412393,1.0,57.96,100.0,45.0,91.75,Critical,True,Large deviation from sender/corridor historical baseline; Large deviation from peer-group corridor baseline; Transaction amount sharply above recent rolling median; Rolling-window statistical outlier; Sudden time-period change in transaction amount or count; High-value cross-border transfer,Immediate enhanced due diligence review; consider escalation and temporary hold based on policy.
TXN000708,2025-03-29,CUST_A103,RCV_B206,USA,RUS,Mercury Trust,Continental Finance,USD,454791.05,Remittance,NBFI,Invoice Payment,High,USA->RUS,USA->RUS,2025-03-29,2025-03-24,2025-03-01,13.027595560494655,2,41,107795.87,29431.67,41,107795.87,29431.67,7.9522585334097595,7.9522585334097595,79.52,93000.95999999999,133047.80136363636,82182.80924766812,22.0,2927051.63,4.890175864851288,3.914970193666054,55.57,5.8035563433302455,1.0,96.07,6.712916826638057,3.0,100.0,0.9413356188251384,0.875,0.0,100.0,85.0,77.25,High,True,Large deviation from sender/corridor historical baseline; Large deviation from peer-group corridor baseline; Transaction amount sharply above recent rolling median; Rolling-window statistical outlier; Sudden time-period change in transaction amount or count; Customer risk rating is High; Transaction involves configured elevated-risk country; High-value cross-border transfer,"Compliance analyst review; validate source of funds, purpose, and counterparties."
TXN001417,2025-05-21,CUST_A104,RCV_B204,USA,ZAF,Mercury Trust,Continental Finance,USD,12734.77,Remittance,Retail,Family Support,Low,USA->ZAF,USA->ZAF,2025-05-21,2025-05-19,2025-05-01,9.452169848875872,0,57,2530.55,957.3999999999996,57,2530.55,957.3999999999996,7.1889976916649285,7.1889976916649285,71.89,2063.5,2417.8779999999997,1245.2368390990255,30.0,72536.34,6.171441725224134,8.285084151111887,100.0,42.36362086700955,13.0,100.0,42.97072740631888,14.0,100.0,4.125163460270204,2.0,62.5,100.0,0.0,75.16,High,True,Large deviation from sender/corridor historical baseline; Large deviation from peer-group corridor baseline; Transaction amount sharply above recent rolling median; Rolling-window statistical outlier; Sudden time-period change in transaction amount or count,"Compliance analyst review; validate source of funds, purpose, and counterparties."
TXN001399,2025-06-28,CUST_A103,RCV_B206,USA,RUS,Harbor Bank,Continental Finance,USD,292233.89,Trade Finance,NBFI,Capital Goods,High,USA->RUS,USA->RUS,2025-06-28,2025-06-23,2025-06-01,12.585313175688038,2,41,107795.87,29431.67,41,107795.87,29431.67,4.226856460744498,4.226856460744498,42.27,106744.95499999999,152413.91,144153.8545628076,30.0,4572417.3,2.7376833874725044,0.9699357705282912,24.82,3.0276609296969976,1.0,40.55,1.3979466301183308,1.0,7.96,2.1897426406837432,2.25,25.0,40.55,95.0,75.0,High,True,Large deviation from sender/corridor historical baseline; Large deviation from peer-group corridor baseline; Sudden time-period change in transaction amount or count; Customer risk rating is High; Transaction involves configured elevated-risk country; High-value cross-border transfer,"Compliance analyst review; validate source of funds, purpose, and counterparties."
TXN001413,2025-06-10,CUST_A101,RCV_B203,USA,SYR,Atlantic Bank,Harbor Bank,USD,350000.0,Nested Correspondent,Corporate,Third-Party Payment,Critical,USA->SYR,USA->SYR,2025-06-10,2025-06-09,2025-06-01,12.765691290604371,3,1,350000.0,0.0,1,350000.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,100.0,75.0,High,True,Customer risk rating is Critical; Transaction involves configured high-risk country; High-value cross-border transfer,"Compliance analyst review; validate source of funds, purpose, and counterparties."
TXN000197,2025-01-25,CUST_A103,RCV_B204,USA,RUS,Harbor Bank,Continental Finance,USD,264252.96,Wire,NBFI,Intercompany Transfer,High,USA->RUS,USA->RUS,2025-01-25,2025-01-20,2025-01-01,12.484665889429092,2,41,107795.87,29431.67,41,107795.87,29431.67,3.585603780043743,3.585603780043743,35.86,72632.24,92573.138,26122.140612057345,5.0,462865.69,3.6382322781178167,6.572195768701926,82.15,2.7117635012956507,2.0,34.24,6.448035571878382,3.0,100.0,1.0,1.0,0.0,100.0,85.0,69.95,Medium,True,Large deviation from sender/corridor historical baseline; Large deviation from peer-group corridor baseline; Rolling-window statistical outlier; Sudden time-period change in transaction amount or count; Customer risk rating is High; Transaction involves configured elevated-risk country; High-value cross-border transfer,Queue for analyst triage; compare with expected customer activity and supporting documentation.
TXN000809,2025-04-10,CUST_A101,RCV_B206,USA,ARE,Atlantic Bank,Mercury Trust,USD,303898.54,Trade Finance,Corporate,Intercompany Transfer,Medium,USA->ARE,USA->ARE,2025-04-10,2025-04-07,2025-04-01,12.62445246524793,1,38,60092.520000000004,19334.06,79,66879.51,22863.639999999992,8.505567919516126,6.992295878302843,85.06,57886.64,66691.91875,34406.94739154486,24.0,1600606.05,5.2498908210944695,6.894148979583436,86.18,2.177666791159963,1.0,23.55,2.177666791159963,1.0,23.55,0.7909737082032423,0.2857142857142857,0.0,23.55,55.0,68.59,Medium,True,Large deviation from sender/corridor historical baseline; Large deviation from peer-group corridor baseline; Transaction amount sharply above recent rolling median; Rolling-window statistical outlier; High-value cross-border transfer,Queue for analyst triage; compare with expected customer activity and supporting documentation.
TXN000695,2025-03-28,CUST_A103,RCV_B203,USA,DEU,Continental Finance,Harbor Bank,USD,541432.83,Wire,NBFI,Services,High,USA->DEU,USA->DEU,2025-03-28,2025-03-24,2025-03-01,13.201976140357186,2,47,129230.5,39837.640000000014,47,129230.5,39837.640000000014,6.979089915592387,6.979089915592387,69.79,124705.61499999999,169434.3088888889,139750.24418860752,18.0,3049817.56,4.341687661778502,2.6618810097323355,47.74,1.3986896049564033,0.3333333333333333,7.97,6.713559274584645,2.5,100.0,7.967253396302502,4.5,100.0,100.0,65.0,68.5,Medium,True,Large deviation from sender/corridor historical baseline; Large deviation from peer-group corridor baseline; Transaction amount sharply above recent rolling median; Sudden time-period change in transaction amount or count; Customer risk rating is High; High-value cross-border transfer,Queue for analyst triage; compare with expected customer activity and supporting documentation.
